peaks,sigmas,xcenter,amps,pangle
"[120.6816487370038, 169.78684440147669, 207.20454553337953, 239.62805018318213]","[5.5375457212337835, 4.792923843903721, 6.9166293437963295, 6.316632007680819]",51.10510364923472,410,-45
"[97.53631361488539, 150.13381242736955, 189.9043905106977]","[5.873120797617664, 6.025004418846098, 6.298045550364176]",35.28457010627148,303,45
"[127.53982371367293, 174.74021701719005, 212.19054718292884, 244.6271972701351]","[5.253193449322811, 5.101194751822146, 6.014344401979567, 5.917280294855431]",66.6197147282819,712,-45
"[135.7782896266219, 182.7209264869345, 220.16509278346064]","[4.850439646974963, 4.760669852007318, 4.888262120775032]",69.46914934813475,911,-45
"[125.80250649353405, 173.50445344664934, 211.07526202026784]","[5.306039184830989, 5.3371761916748, 5.974687844245524]",55.5997211724058,612,-45
"[101.41079104135699, 156.1747921091651, 196.11577061765837, 228.66367025872907, 258.42414424997094]","[6.0963532526127695, 5.5515244387752185, 5.7876972040496275, 5.840548997103732, 6.27548045461033]",48.72618432941785,410,45
"[102.2683576504057, 156.64883318807824, 195.97421639604028, 229.09663165947998, 258.72628832821704]","[5.365892385295192, 4.815779792907725, 5.236449228604932, 6.177487999544398, 6.170034959786586]",49.056002323480044,528,45
"[101.51017945755298, 157.43226720201028, 197.8907931586799, 231.49126378677738]","[5.849994735970016, 5.0575239145314494, 5.698538843203761, 5.550634711197675]",51.09288232492797,890,45
"[124.3132669087, 172.53252530053828, 210.4054536010377, 242.33344151947736, 287.7305330338239]","[5.691636791936632, 5.4383628320125545, 6.654417613482638, 7.138678351634284, 19.60749280929258]",56.52746224344908,528,-45
"[110.63694192935611, 165.25246467498005, 205.42914651336773, 238.59330859965752]","[5.697371475786826, 5.33551853083197, 6.231536514593945, 6.509973197457493]",49.25528720795147,612,45
"[124.5871512418272, 174.27204587853706, 211.94974431081732]","[6.249066677166514, 4.914592979713856, 5.996567168340521]",48.79616367626177,303,-45
"[114.65965379738448, 171.46517824607213, 211.81450630900977, 246.3248871887737]","[6.047216912783547, 4.799966560097822, 5.27534764423459, 5.1988542697234825]",50.989358461339876,911,45
"[98.7926527535104, 154.48695173265253, 194.43638830765107]","[5.562299928768005, 4.627446830508348, 5.037591251246338]",52.28925110011377,712,45
"[132.42864479259634, 179.60907766818113, 216.31763441802255]","[5.146917660033355, 4.732249527920459, 6.1095400325587645]",69.93569053410425,890,-45
